smiles,property
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=44],CC(C)C(OC)=O[<].[+rn=56]}",5.997668008
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=40],CC(C)C(OC)=O[<].[+rn=60]}",3.257353137
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=36],CC(C)C(OC)=O[<].[+rn=64]}",2.671674807
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=50],CC(C)C(OCC)=O[<].[+rn=50]}",-0.275343579
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=30],CC(C)C(OCC)=O[<].[+rn=70]}",-3.394633264
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=83],CC(C)C(OCCCC)=O[<].[+rn=17]}",6.108835191
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=76],CC(C)C(OCCCC)=O[<].[+rn=24]}",3.257353137
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=71],CC(C)C(OCCCC)=O[<].[+rn=29]}",2.935031093
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=68],CC(C)C(OCCCC)=O[<].[+rn=32]}",1.933807374
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=60],CC(C)C(OCCCC)=O[<].[+rn=40]}",0.112153152
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=56],CC(C)C(OCCCC)=O[<].[+rn=44]}",-0.275343579
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=53],CC(C)C(OCCCC)=O[<].[+rn=47]}",-0.275343579
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=92],CC(C)C(OCCCCCC)=O[<].[+rn=08]}",5.620136932
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=84],CC(C)C(OCCCCCC)=O[<].[+rn=16]}",2.671674807
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=78],CC(C)C(OCCCCCC)=O[<].[+rn=22]}",0.832926178
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=73],CC(C)C(OCCCCCC)=O[<].[+rn=27]}",-0.275343579
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=70],CC(C)C(OCCCCCC)=O[<].[+rn=30]}",-0.654318394
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=92],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=08]}",6.806010905
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=84],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=16]}",2.671674807
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=75],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=25]}",-0.654318394
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=67],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=33]}",-2.71573159
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=56],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=44]}",-3.213840049
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=49],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=51]}",-3.30140992
