Ration_A,LOGP_A,ATS4d,ATS2are,AATS2m,AATS4m,AATS2v,ATSC6dv,ATSC0d,ATSC5d,ATSC1v,ATSC1i,ATSC5i,AATSC1dv,MATS6p,GATS6c,BCUTdv-1l,Xp-4d,ZMIC4,Kier2,MDEC-13,MDEC-23,Ration_B,LOGP_B,ATS4d.1,AATS2m.1,AATS4m.1,AATS2v.1,AATS3v.1,ATSC1dv.1,ATSC6dv.1,ATSC0d.1,ATSC5d.1,ATSC1v.1,ATSC1i.1,AATSC1dv.1,AATSC6dv.1,AATSC6Z.1,MATS6p.1,GATS6c.1,ZMIC4.1,MDEC-13.1,TSRW10.1
88,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,12,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
30,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,70,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
56,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,44,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
44,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,56,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
40,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,60,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
36,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,64,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
90,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,10,1.20550001,54,47.68912506,28.25822258,144.1124725,125.0017624,32.95999908,24.47999954,8.19999981,-1.71000004,-148.2416077,-6.54876184,1.7347368,0.9066667,-0.04888889,-0.20169756,0.07013096,17.86882401,3.1473453,34.32356262
84,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,16,1.20550001,54,47.68912506,28.25822258,144.1124725,125.0017624,32.95999908,24.47999954,8.19999981,-1.71000004,-148.2416077,-6.54876184,1.7347368,0.9066667,-0.04888889,-0.20169756,0.07013096,17.86882401,3.1473453,34.32356262
65,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,35,1.20550001,54,47.68912506,28.25822258,144.1124725,125.0017624,32.95999908,24.47999954,8.19999981,-1.71000004,-148.2416077,-6.54876184,1.7347368,0.9066667,-0.04888889,-0.20169756,0.07013096,17.86882401,3.1473453,34.32356262
50,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,50,1.20550001,54,47.68912506,28.25822258,144.1124725,125.0017624,32.95999908,24.47999954,8.19999981,-1.71000004,-148.2416077,-6.54876184,1.7347368,0.9066667,-0.04888889,-0.20169756,0.07013096,17.86882401,3.1473453,34.32356262
30,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,70,1.20550001,54,47.68912506,28.25822258,144.1124725,125.0017624,32.95999908,24.47999954,8.19999981,-1.71000004,-148.2416077,-6.54876184,1.7347368,0.9066667,-0.04888889,-0.20169756,0.07013096,17.86882401,3.1473453,34.32356262
83,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,17,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
76,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,24,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
71,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,29,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
68,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,32,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
63,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,37,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
60,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,40,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
59,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,41,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
56,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,44,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
53,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,47,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
92,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,08,2.7658999,117,41.31490326,25.41023064,147.4829712,117.4215698,33,-6,10.875,-1.26953125,-152.1483002,-6.38082123,1.06451619,-0.11111111,0.03703704,-0.00493267,0.85558385,19.33364677,2.43468761,40.15626907
84,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,16,2.7658999,117,41.31490326,25.41023064,147.4829712,117.4215698,33,-6,10.875,-1.26953125,-152.1483002,-6.38082123,1.06451619,-0.11111111,0.03703704,-0.00493267,0.85558385,19.33364677,2.43468761,40.15626907
78,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,22,2.7658999,117,41.31490326,25.41023064,147.4829712,117.4215698,33,-6,10.875,-1.26953125,-152.1483002,-6.38082123,1.06451619,-0.11111111,0.03703704,-0.00493267,0.85558385,19.33364677,2.43468761,40.15626907
73,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,27,2.7658999,117,41.31490326,25.41023064,147.4829712,117.4215698,33,-6,10.875,-1.26953125,-152.1483002,-6.38082123,1.06451619,-0.11111111,0.03703704,-0.00493267,0.85558385,19.33364677,2.43468761,40.15626907
70,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,30,2.7658999,117,41.31490326,25.41023064,147.4829712,117.4215698,33,-6,10.875,-1.26953125,-152.1483002,-6.38082123,1.06451619,-0.11111111,0.03703704,-0.00493267,0.85558385,19.33364677,2.43468761,40.15626907
92,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,16,2.38579988,112,62.11401367,33.69430161,195.6057434,160.7265778,32.44444275,-8.93827152,12.74074078,-0.70096022,-48.21478271,-3.27024317,1.20164609,-0.23521768,1.20922673,0.21559879,0.67975575,20.17131805,2.78495336,42.97436905
84,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,25,2.38579988,112,62.11401367,33.69430161,195.6057434,160.7265778,32.44444275,-8.93827152,12.74074078,-0.70096022,-48.21478271,-3.27024317,1.20164609,-0.23521768,1.20922673,0.21559879,0.67975575,20.17131805,2.78495336,42.97436905
75,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,33,2.38579988,112,62.11401367,33.69430161,195.6057434,160.7265778,32.44444275,-8.93827152,12.74074078,-0.70096022,-48.21478271,-3.27024317,1.20164609,-0.23521768,1.20922673,0.21559879,0.67975575,20.17131805,2.78495336,42.97436905
67,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,60,2.38579988,112,62.11401367,33.69430161,195.6057434,160.7265778,32.44444275,-8.93827152,12.74074078,-0.70096022,-48.21478271,-3.27024317,1.20164609,-0.23521768,1.20922673,0.21559879,0.67975575,20.17131805,2.78495336,42.97436905
