Ration_A,LOGP_A,SpAbs_A,ATS4d,ATS0s,ATS1s,ATS4s,ATS5s,ATS5v,ATS2are,AATS2m,AATS3v,ATSC0d,ATSC6d,ATSC4pe,ATSC7pe,ATSC1i,ATSC6i,MATS6p,Xp-4d,ZMIC4,Kier2,Ration_B,LOGP_B,ATS4d.1,ATS0s.1,ATS1s.1,ATS4s.1,ATS5s.1,ATS5v.1,AATS2m.1,AATS3v.1,ATSC0d.1,ATSC4pe.1,ATSC7pe.1,ATSC6p.1,ATSC1i.1,ATSC6i.1,MATS6p.1,Xp-4d.1,ZMIC4.1,Kier2.1,TSRW10.1
44,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,56,0.8154,42,87.80555725,51.38888931,107,27,1470.090576,49.42292023,138.2325287,7.52941179,-3.22242904,0,1.74061513,-6.62841368,8.45548248,0.48000735,0.47140452,17.28075409,3.06122446,32.68875504
40,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,60,0.8154,42,87.80555725,51.38888931,107,27,1470.090576,49.42292023,138.2325287,7.52941179,-3.22242904,0,1.74061513,-6.62841368,8.45548248,0.48000735,0.47140452,17.28075409,3.06122446,32.68875504
36,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,64,0.8154,42,87.80555725,51.38888931,107,27,1470.090576,49.42292023,138.2325287,7.52941179,-3.22242904,0,1.74061513,-6.62841368,8.45548248,0.48000735,0.47140452,17.28075409,3.06122446,32.68875504
50,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,50,1.20550001,54,92.05555725,55.63888931,117.8333359,54,2761.554932,47.68912506,125.0017624,8.19999981,-2.76929688,0.94393802,-1.11561155,-6.54876184,-6.41543865,-0.20169756,0.78867513,17.86882401,3.9375,34.32356262
30,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,70,1.20550001,54,92.05555725,55.63888931,117.8333359,54,2761.554932,47.68912506,125.0017624,8.19999981,-2.76929688,0.94393802,-1.11561155,-6.54876184,-6.41543865,-0.20169756,0.78867513,17.86882401,3.9375,34.32356262
83,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,17,1.98570001,85,100.5555573,66.1388855,147,78.83333588,4376.584473,43.67059708,119.2071304,9.53846169,-2.49296331,-0.42890295,-0.67165387,-6.4452014,-3.65594077,-0.08915582,1.04964614,18.71290779,5.76000023,37.3264122
76,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,24,1.98570001,85,100.5555573,66.1388855,147,78.83333588,4376.584473,43.67059708,119.2071304,9.53846169,-2.49296331,-0.42890295,-0.67165387,-6.4452014,-3.65594077,-0.08915582,1.04964614,18.71290779,5.76000023,37.3264122
71,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,29,1.98570001,85,100.5555573,66.1388855,147,78.83333588,4376.584473,43.67059708,119.2071304,9.53846169,-2.49296331,-0.42890295,-0.67165387,-6.4452014,-3.65594077,-0.08915582,1.04964614,18.71290779,5.76000023,37.3264122
68,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,32,1.98570001,85,100.5555573,66.1388855,147,78.83333588,4376.584473,43.67059708,119.2071304,9.53846169,-2.49296331,-0.42890295,-0.67165387,-6.4452014,-3.65594077,-0.08915582,1.04964614,18.71290779,5.76000023,37.3264122
60,-1.27390003,0,70,405.6458435,117.9722214,131.8333283,64.83333588,3459.482666,352.2529907,86.75143433,126.6863327,19.20000076,0.47999999,-2.71197867,2.51198792,-12.06970119,-9.6330328,-0.18925574,0.85943276,29.35023689,9.07407379,40,1.98570001,85,100.5555573,66.1388855,147,78.83333588,4376.584473,43.67059708,119.2071304,9.53846169,-2.49296331,-0.42890295,-0.67165387,-6.4452014,-3.65594077,-0.08915582,1.04964614,18.71290779,5.76000023,37.3264122
