smiles,pred_0,value_0
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=00],CC(C)C(NCCCC)=O[<].[+rn=100]}",5.789758587,345.3424249
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=20],CC(C)C(NCCCC)=O[<].[+rn=80]}",5.623279376,307.7485038
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=36],CC(C)C(NCCCC)=O[<].[+rn=64]}",5.539332681,290.3730879
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=54],CC(C)C(NCCCC)=O[<].[+rn=46]}",5.602900942,303.437274
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=78],CC(C)C(NCCCC)=O[<].[+rn=22]}",5.837285345,356.8941486
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=18],CC(C)C(NCCCCCC)=O[<].[+rn=82]}",5.452038478,273.3444796
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=33],CC(C)C(NCCCCCC)=O[<].[+rn=67]}",5.363698477,257.1282653
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=51],CC(C)C(NCCCCCC)=O[<].[+rn=49]}",5.417567647,266.8985633
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=63],CC(C)C(NCCCCCC)=O[<].[+rn=37]}",5.48687985,280.0178949
,,
,,
3.591255729,,
-1.027328117,,
