smiles,pred_0,value_0
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=00],CC(C)C(NCCCC)=O[<].[+rn=100]}",3.182556946,56.80195618
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=20],CC(C)C(NCCCC)=O[<].[+rn=80]}",3.225207776,58.50416422
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=36],CC(C)C(NCCCC)=O[<].[+rn=64]}",3.25356002,59.66384306
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=54],CC(C)C(NCCCC)=O[<].[+rn=46]}",3.270584679,60.37121173
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=78],CC(C)C(NCCCC)=O[<].[+rn=22]}",3.358755745,64.17111539
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=18],CC(C)C(NCCCCCC)=O[<].[+rn=82]}",3.307783213,61.94611597
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=33],CC(C)C(NCCCCCC)=O[<].[+rn=67]}",3.165082486,56.11893042
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=51],CC(C)C(NCCCCCC)=O[<].[+rn=49]}",3.421581517,67.0237796
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=63],CC(C)C(NCCCCCC)=O[<].[+rn=37]}",3.014203238,50.55285857
,,
rmse,2.453477502,
r2,-0.881915997,
