smiles,pred_0,value_0
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=00],CC(C)C(NCCCC)=O[<].[+rn=100]}",3.56191416,73.86209433
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=20],CC(C)C(NCCCC)=O[<].[+rn=80]}",3.302649998,61.72636721
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=36],CC(C)C(NCCCC)=O[<].[+rn=64]}",3.104543749,53.81553761
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=54],CC(C)C(NCCCC)=O[<].[+rn=46]}",2.949870758,48.35076855
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=78],CC(C)C(NCCCC)=O[<].[+rn=22]}",2.820699784,44.21468844
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=18],CC(C)C(NCCCCCC)=O[<].[+rn=82]}",3.113999653,54.16898709
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=33],CC(C)C(NCCCCCC)=O[<].[+rn=67]}",2.852675691,45.20437944
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=51],CC(C)C(NCCCCCC)=O[<].[+rn=49]}",2.720366389,41.24773666
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=63],CC(C)C(NCCCCCC)=O[<].[+rn=37]}",2.418852507,33.47698481
,,
2.401022705,,
-0.80230633,,
